job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_130M_xm01_lr0.001_gbsz64_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.001,64,0.99,1234,190735.0,12207040.0,50000035840.0,204800.0,2.542903,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.001,64,0.99,1234,22889.0,1464896.0,6000214016.0,204800.0,2.720115,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.001,64,0.99,1234,305176.0,19531264.0,80000057344.0,204800.0,2.518064,0.0
dense_130M_xm01_lr0.002_gbsz1024_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.002,1024,0.99,1234,28611.0,29297664.0,120003231744.0,204800.0,2.524006,0.0
dense_130M_xm01_lr0.002_gbsz1024_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.002,1024,0.99,1234,47684.0,48828416.0,200001191936.0,204800.0,2.496742,0.0
dense_130M_xm01_lr0.002_gbsz1024_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.002,1024,0.99,1234,71526.0,73242624.0,300001787904.0,204800.0,2.478808,0.0
dense_130M_xm01_lr0.002_gbsz1024_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,1024,0.99,1234,7153.0,7324672.0,30001856512.0,204800.0,2.655744,0.0
dense_130M_xm01_lr0.002_gbsz1024_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.002,1024,0.99,1234,11921.0,12207104.0,50000297984.0,204800.0,2.59202,0.0
dense_130M_xm01_lr0.002_gbsz1024_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.002,1024,0.99,1234,19074.0,19531776.0,80002154496.0,204800.0,2.551337,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.002,128,0.99,1234,228882.0,29296896.0,120000086016.0,204800.0,2.499225,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.002,128,0.99,1234,22889.0,2929792.0,12000428032.0,204800.0,2.651203,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.002,128,0.99,1234,381470.0,48828160.0,200000143360.0,204800.0,2.481647,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,128,0.99,1234,38147.0,4882816.0,20000014336.0,204800.0,2.604768,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.002,128,0.99,1234,572205.0,73242240.0,300000215040.0,204800.0,2.473047,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,128,0.99,1234,57221.0,7324288.0,30000283648.0,204800.0,2.573634,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.002,128,0.99,1234,95368.0,12207104.0,50000297984.0,204800.0,2.540878,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.002,128,0.99,1234,11445.0,1464960.0,6000476160.0,204800.0,2.729605,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.002,128,0.99,1234,152588.0,19531264.0,80000057344.0,204800.0,2.516152,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.002,256,0.99,1234,114441.0,29296896.0,120000086016.0,204800.0,2.497453,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.002,256,0.99,1234,11445.0,2929920.0,12000952320.0,204800.0,2.669772,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.002,256,0.99,1234,190735.0,48828160.0,200000143360.0,204800.0,2.477218,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,256,0.99,1234,19074.0,4882944.0,20000538624.0,204800.0,2.615963,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.002,256,0.99,1234,286103.0,73242368.0,300000739328.0,204800.0,2.464666,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,256,0.99,1234,28611.0,7324416.0,30000807936.0,204800.0,2.581068,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.002,256,0.99,1234,47684.0,12207104.0,50000297984.0,204800.0,2.544461,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.002,256,0.99,1234,76294.0,19531264.0,80000057344.0,204800.0,2.516879,0.0
dense_130M_xm01_lr0.002_gbsz32_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.002,32,0.99,1234,91553.0,2929696.0,12000034816.0,204800.0,2.665993,0.0
dense_130M_xm01_lr0.002_gbsz32_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,32,0.99,1234,152588.0,4882816.0,20000014336.0,204800.0,2.629984,0.0
dense_130M_xm01_lr0.002_gbsz32_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,32,0.99,1234,228882.0,7324224.0,30000021504.0,204800.0,2.60515,0.0
dense_130M_xm01_lr0.002_gbsz32_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.002,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.7238,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.002,512,0.99,1234,57221.0,29297152.0,120001134592.0,204800.0,2.504148,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.002,512,0.99,1234,95368.0,48828416.0,200001191936.0,204800.0,2.481209,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,512,0.99,1234,9537.0,4882944.0,20000538624.0,204800.0,2.650514,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.002,512,0.99,1234,143052.0,73242624.0,300001787904.0,204800.0,2.467109,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,512,0.99,1234,14306.0,7324672.0,30001856512.0,204800.0,2.604534,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.002,512,0.99,1234,23842.0,12207104.0,50000297984.0,204800.0,2.559521,0.0
dense_130M_xm01_lr0.002_gbsz512_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.002,512,0.99,1234,38147.0,19531264.0,80000057344.0,204800.0,2.526875,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.002,64,0.99,1234,457764.0,29296896.0,120000086016.0,204800.0,2.511897,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.002,64,0.99,1234,45777.0,2929728.0,12000165888.0,204800.0,2.651606,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,64,0.99,1234,76294.0,4882816.0,20000014336.0,204800.0,2.611023,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,64,0.99,1234,114441.0,7324224.0,30000021504.0,204800.0,2.581729,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.002,64,0.99,1234,190735.0,12207040.0,50000035840.0,204800.0,2.550896,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.002,64,0.99,1234,22889.0,1464896.0,6000214016.0,204800.0,2.717376,0.0
