model_path,size,data,lr,gbsz,beta2,seed,schedule,tokens_B,iter,benchmark,task,n_shot,metric,score
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,hellaswag,10,acc_norm,0.67845
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,jeopardy,10,exact_match,0.40293
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,lambada_openai,0,acc,0.62022
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,openbookqa,0,acc_norm,0.404
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,piqa,10,acc_norm,0.76659
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,winogrande,0,acc,0.62668
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,wsc273,0,acc,0.79487
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,agieval_lsat_ar,3,acc,0.21304
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,arc_challenge,10,acc_norm,0.53584
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,arc_easy,10,acc_norm,0.79966
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.335
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.1198
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,boolq,10,acc,0.74801
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,commonsense_qa,10,acc,0.60278
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,copa,0,acc,0.82
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,coqa,0,f1,0.68838
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,hellaswag,0,acc_norm,0.7131
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,hellaswag,10,acc_norm,0.73053
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,jeopardy,10,exact_match,0.46481
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,lambada_openai,0,acc,0.67204
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,openbookqa,0,acc_norm,0.444
HuggingFaceTB/SmolLM2-1.7B,1.7B,HuggingFaceTB/SmolLM2-1.7B,,,,,,,,other,piqa,10,acc_norm,0.78672
